tweetid,username,text,lat,lon,city
1,@OpenDataLab,"Digital twin pilot launched for flood management in Washington, DC.",38.920095,-77.033555,"Washington, DC"
2,@CityObserver,"IoT sensors deployed to monitor water leaks in Charlotte, NC.",35.238777,-80.860648,"Charlotte, NC"
3,@WaterWatchUSA,"New community clinic opens in Washington, DC with extended evening hours. Access matters.",38.915161,-77.049643,"Washington, DC"
4,@PolicyWatch,"Teachers in San Diego, CA receive innovation grants for classroom tech.",32.732798,-117.180336,"San Diego, CA"
5,@PolicyWatch,"Electric buses roll out on city routes in Columbus, OH.",39.947265,-82.984223,"Columbus, OH"
6,@GeoInsights,"Recycling rates rise 452% after new policy rollout in Phoenix, AZ.",33.437155,-112.059063,"Phoenix, AZ"
7,@SmartUrbanist,"Clean air campaign gains traction in Denver, CO neighborhoods.",39.755793,-104.995534,"Denver, CO"
8,@TransitTracker,"Mental health awareness walk happening downtown Dallas, TX this Saturday.",32.793064,-96.785585,"Dallas, TX"
9,@CivicSense,"Neighborhood cleanup day in Boston, MA collects 2,614 bags of waste.",42.380014,-71.066905,"Boston, MA"
10,@EduVoice,"Coding bootcamp enrollment surges in Columbus, OH.",39.974902,-83.001374,"Columbus, OH"
11,@GreenPulse,"Mobile vaccine unit returns this weekend in Phoenix, AZ. Walk-ins welcome.",33.466022,-112.057675,"Phoenix, AZ"
12,@PublicHealthNow,"Clean air campaign gains traction in Chicago, IL neighborhoods.",41.876437,-87.630152,"Chicago, IL"
13,@RideBetter,"Mobile vaccine unit returns this weekend in Austin, TX. Walk-ins welcome.",30.250475,-97.751725,"Austin, TX"
14,@UrbanMapper,"IoT sensors deployed to monitor water leaks in Jacksonville, FL.",30.344128,-81.659802,"Jacksonville, FL"
15,@OpenDataLab,"Urban tree canopy expansion adds shade in San Antonio, TX.",29.410698,-98.482282,"San Antonio, TX"
16,@CommunityWorks,"Teachers in Seattle, WA receive innovation grants for classroom tech.",47.600519,-122.325638,"Seattle, WA"
17,@SmartUrbanist,"Protected bike lanes expand downtown San Jose, CA.",37.356942,-121.877966,"San Jose, CA"
18,@CityObserver,"Traffic signal timing optimized for smoother flow in San Antonio, TX.",29.40709,-98.481701,"San Antonio, TX"
19,@HealthMatters,"Coding bootcamp enrollment surges in San Jose, CA.",37.341136,-121.871566,"San Jose, CA"
20,@RideBetter,"Recycling rates rise 757% after new policy rollout in San Antonio, TX.",29.432658,-98.492182,"San Antonio, TX"
21,@CityObserver,"Block party celebrates diverse neighborhoods in Miami, FL.",25.750653,-80.205336,"Miami, FL"
22,@UrbanMapper,"Urban tree canopy expansion adds shade in San Diego, CA.",32.729529,-117.141144,"San Diego, CA"
23,@UrbanMapper,"Green infrastructure projects reduce flooding in Charlotte, NC.",35.213042,-80.862954,"Charlotte, NC"
24,@NeighborhoodNews,"Community college in Los Angeles, CA offers new GIS certification program.",34.046084,-118.233021,"Los Angeles, CA"
25,@EduVoice,"Clean air campaign gains traction in Jacksonville, FL neighborhoods.",30.322002,-81.668984,"Jacksonville, FL"
26,@GeoInsights,"Traffic signal timing optimized for smoother flow in Columbus, OH.",39.942146,-82.980547,"Columbus, OH"
27,@CityObserver,"High school introduces new STEM lab in San Francisco, CA.",37.757483,-122.416938,"San Francisco, CA"
28,@RideBetter,"Recycling rates rise 1,914% after new policy rollout in Austin, TX.",30.285082,-97.743546,"Austin, TX"
29,@EdTechToday,"Community college in San Jose, CA offers new GIS certification program.",37.353382,-121.890234,"San Jose, CA"
30,@GreenPulse,"New community clinic opens in Philadelphia, PA with extended evening hours. Access matters.",39.942666,-75.165006,"Philadelphia, PA"
31,@RideBetter,"University in Seattle, WA expands AI for sustainability courses.",47.619076,-122.312227,"Seattle, WA"
32,@NeighborhoodNews,"Open data portal in Austin, TX now features live traffic feeds.",30.27759,-97.747272,"Austin, TX"
33,@CleanAirNow,"Urban tree canopy expansion adds shade in Jacksonville, FL.",30.324559,-81.640242,"Jacksonville, FL"
34,@GreenPulse,"Volunteers removed 2,250 pounds of trash from rivers in San Francisco, CA.",37.757565,-122.402017,"San Francisco, CA"
35,@MobilityMatters,"Neighborhood cleanup day in San Diego, CA collects 1,148 bags of waste.",32.702612,-117.145676,"San Diego, CA"
36,@TeachToday,"New mobility app integrates all transit modes in Dallas, TX.",32.763351,-96.81104,"Dallas, TX"
37,@UrbanMapper,"Green infrastructure projects reduce flooding in Washington, DC.",38.895102,-77.043733,"Washington, DC"
38,@NeighborhoodNews,"Civic engagement workshop planned for youth in Philadelphia, PA.",39.951876,-75.149529,"Philadelphia, PA"
39,@GreenPulse,"Transit ridership up 3,174% in Dallas, TX after new pass program.",32.772048,-96.806316,"Dallas, TX"
40,@MobilityMatters,"Coding bootcamp enrollment surges in Los Angeles, CA.",34.044454,-118.243179,"Los Angeles, CA"
